segment_id,time_to_eruption
860288,12404142.00286784
1067970,25881474.222093195
1265147,26718011.293134917
1276338,29686775.87
1474802,16922626.80795117
1518628,22366336.495795935
2203910,17486469.622333333
2315391,23079172.529
2408863,22478378.77
3007537,18436488.11
3567577,11020337.175
3798759,24844196.626306858
4156040,29219488.606426902
4678581,29858595.62
4681142,8829066.86
4715803,30425864.229013387
5845522,38309901.27166667
6264706,25663282.30866667
7873707,23382557.78416667
7974921,23914401.01
8898882,34501164.07168636
9165248,34582274.66333333
9257549,29083795.99526038
10044968,7350336.64
10500324,27869995.94166667
10968059,39289472.6
11785683,39621545.31897782
12309827,27113165.99854072
12479934,24219359.54212121
12941029,26696842.83654251
13022798,12304166.95
13669521,28092413.443418674
14329699,21886918.567990504
14464594,16692551.59
15300104,28943829.136666667
15394025,24030683.30302815
15501420,17518809.13
16056728,17808822.534920637
16772170,23906789.580476187
18127665,22736875.14945274
18251110,21069335.593276516
18571830,22211289.45
18648159,2142810.67
18657417,16809010.443089873
19158067,21616571.638
19300115,29721847.608889494
20299536,7893459.717932692
20563182,29207957.656
20800206,21934112.08627778
21719361,37551677.01833333
22423732,23908422.05777996
22505344,38876373.53426196
22776154,33193434.401716486
23134859,17282888.201572683
23324947,27250045.210222226
23412637,23449501.798452426
23611228,29594246.837999906
23882918,19683067.166220848
24467319,11881987.394375
25711491,17184763.803
26141819,30486373.48383333
27621672,10153418.14
27769346,24834492.01221362
28413620,14469168.641993465
29808369,19068367.47
30476840,18800534.465583336
30847257,33452632.236666664
31119116,32314533.78
32463751,2420428.85
33458659,33572805.94338972
33548961,22905600.1925
34157657,37448032.963975385
34440633,21826549.612843655
34684710,33366640.702692308
36201396,17294666.018
36579398,28130587.48
36586777,37597054.53588314
36637286,24865681.62
36964980,14876130.960646648
37068828,19047746.2735
37623171,863150.55
37655026,24636653.748935577
37754737,34844958.72570144
38030725,22277413.74
38115369,23327893.15833333
38357533,24961206.781676654
39060284,22545543.409333333
39936901,21790486.288000003
40296311,25432138.62853648
40458284,6550782.272307691
40611218,32344524.480661966
40875137,28258855.06874035
41520564,26219889.98666667
41792954,26843738.33
41862029,15450253.09
41936682,28460750.461238753
42204591,28985701.5695
43266024,7617592.57
43542232,37640157.16325
43945260,36730817.95776954
43954650,22588116.6
44433671,27061431.28035714
45549549,26153225.887205366
46207624,23296139.72666667
47395179,17272917.77
47997762,15093861.24
48241893,34371808.25366667
49077527,35524885.17511442
49764607,2508294.71
49898387,41176186.47
50414982,25729346.105277777
50626604,16676140.977374999
50639097,22603056.892323527
50675721,5308595.81
51014357,45934838.53584616
51236360,21895090.03791667
51662332,5001809.923333333
51802709,16172875.24
52592172,11779743.91
53165419,34974222.5281579
53465103,17022570.589809522
53852878,8193683.355166666
54815674,44131494.36866667
55019205,33190796.50113326
55019273,11878456.555
55588063,17620940.763125
56084141,18245322.9964
56427214,24825801.711999997
56764818,31726764.76319842
56766771,34473979.813938715
56775472,23458508.045
57837937,14350911.221435376
58325440,35241810.01428571
58360843,14721420.652904764
58542575,27936643.223494135
59115085,28766562.053399306
59899304,19415920.44333333
60696335,10466229.14
62025312,15006258.940267544
62150658,38363260.32783925
62249330,23158107.875652775
62449470,3792826.865
62649624,26605691.010210935
62680332,33783184.01
63625893,18047476.72
63713889,25490471.09345834
64078325,17835193.61541667
64239667,28532339.953273486
64688467,39032669.47106618
64718208,16102504.152706347
66540021,1669874.16
67196281,21894834.4075
68507484,20509945.628083333
69340475,32556198.845445752
69758142,23518318.928872943
69930205,27268766.616102044
69983594,17707972.873333335
70454644,15677961.703409504
70586576,26628112.728466097
71197390,31218503.115214285
72475532,30819496.642727643
72552013,24832542.31441847
72772798,29323585.210448712
74205498,19255895.843224823
74446418,15893252.24
75096270,28998839.761229564
75464333,20310601.33857143
75963900,16858102.395
76248049,10646066.576666666
76993562,4969310.97
77595713,27523571.485921055
77798017,17945500.50843137
77854924,21053584.30666667
78691384,29413635.11652553
79229424,30938912.934967052
79788076,38751359.843833335
80128958,29035768.85857143
80182473,26856531.863605455
80520828,10908018.037999999
80878937,25323391.296454545
81077420,21918895.641999997
81919033,20827886.850882355
82002379,24906112.43
82083822,36964370.93
82393996,35298845.82975092
82598279,28088032.272879835
82780278,29336323.412105266
83637460,25544901.574
84914004,33122926.978738092
85572606,17511214.95625397
85896253,4572397.915
86227930,8165271.13
86469776,31525797.430322956
86715791,22908321.64
86876337,33071416.002000004
87150975,17987208.603
87667667,28622329.156928677
88044166,26643802.481703833
89137752,25250039.657872085
89401161,27472927.13
90519942,30497836.80866667
91840882,15808153.12
92101527,19715950.28
92161345,11751110.587142859
92595112,2942834.96
92969561,9620454.41
93130501,22881776.41064239
93645337,25311728.048182596
94316167,32350449.5315
94610879,31033768.771399997
96326337,29450182.475318264
96603778,21265404.262083337
96932117,29866111.59135265
97549718,35747290.88590872
97827749,20371637.306301247
98762415,40909971.71
99245495,11705261.46676963
99975682,27036670.25600238
100023368,33656539.03817484
100741545,31909036.492
100781580,11638965.71375
100924436,10345229.133333333
101092507,27365125.175997432
101110196,20749971.05333333
101767110,30540895.033982206
102293055,19323229.723333333
103255324,31157936.1553341
105231979,20783407.84
105565188,16624709.89852622
106530242,23215905.613809522
106558646,5228209.92
106685184,23005104.899780218
106705133,6342766.875
107456883,20700059.9825
107666202,35357191.482223734
108203668,36118072.64666348
108213146,21980511.55
108403661,9352029.88
108610409,24927802.42777778
108734762,26995051.425365854
108885370,21396492.46
108980580,25448769.55292737
109341864,26166015.62642857
109822679,10562867.66275
110077966,29564995.253935065
110350278,20277964.955542788
110368744,7520429.533333334
110406323,42977164.84282738
110836519,23430303.885160714
110897870,27155639.114592504
111846917,41958794.261658974
112044852,38724621.501649626
113804746,31023160.646716375
113905839,9562482.423787879
113967173,28895058.81515533
114150551,31070137.464709926
115061644,21696413.97
115078097,20078927.804125
115221470,19108234.046935376
116365849,25641283.618085746
116412859,25499063.93194318
116714199,38989327.33
116873459,18412809.77915273
116932311,26037058.2638785
117774602,20995521.737777777
118297093,20174365.649029415
119542887,24709035.33413862
119569312,28749234.696471166
120316657,32602783.321054082
120454717,33244429.463095237
120889622,18664055.21
121085860,22452581.34263131
121475135,17197256.18155462
121911992,33395013.315339398
122051198,22835135.48666667
122338420,2664540.54
123334209,30652097.004
124066139,36032492.45198114
124328628,22352525.60194118
124472978,25371596.382
125372216,30062967.495
125491337,33957370.61554545
126243235,22040838.787375003
126292191,11721329.215833334
127549365,13145492.686666667
127685374,2331904.01
128322819,16779257.628066666
128415011,27106497.56625
128473770,4705205.97
128534378,34119893.77899767
128760129,23701221.421785712
129024523,37186605.62047619
